class,filename,width,height,ratio
airplane,airplane_0000.jpg,300,104,2.8846153846153846
airplane,airplane_0001.jpg,286,113,2.5309734513274336
airplane,airplane_0002.jpg,290,94,3.0851063829787235
airplane,airplane_0003.jpg,303,101,3.0
airplane,airplane_0004.jpg,305,98,3.1122448979591835
airplane,airplane_0005.jpg,305,85,3.588235294117647
airplane,airplane_0006.jpg,295,97,3.0412371134020617
airplane,airplane_0007.jpg,301,122,2.4672131147540983
airplane,airplane_0008.jpg,302,129,2.3410852713178296
airplane,airplane_0009.jpg,287,88,3.2613636363636362
airplane,airplane_0010.jpg,297,115,2.582608695652174
airplane,airplane_0011.jpg,294,94,3.127659574468085
airplane,airplane_0012.jpg,274,80,3.425
airplane,airplane_0013.jpg,297,75,3.96
airplane,airplane_0014.jpg,291,107,2.7196261682242993
airplane,airplane_0015.jpg,297,106,2.80188679245283
airplane,airplane_0016.jpg,295,104,2.8365384615384617
airplane,airplane_0017.jpg,304,79,3.848101265822785
airplane,airplane_0018.jpg,306,88,3.477272727272727
airplane,airplane_0019.jpg,279,150,1.86
airplane,airplane_0020.jpg,290,100,2.9
airplane,airplane_0021.jpg,294,87,3.3793103448275863
airplane,airplane_0022.jpg,289,131,2.2061068702290076
airplane,airplane_0023.jpg,275,110,2.5
airplane,airplane_0024.jpg,278,97,2.865979381443299
airplane,airplane_0025.jpg,263,124,2.120967741935484
airplane,airplane_0026.jpg,256,84,3.0476190476190474
airplane,airplane_0027.jpg,281,106,2.650943396226415
airplane,airplane_0028.jpg,279,81,3.4444444444444446
airplane,airplane_0029.jpg,284,112,2.5357142857142856
airplane,airplane_0030.jpg,300,90,3.3333333333333335
airplane,airplane_0031.jpg,292,121,2.4132231404958677
airplane,airplane_0032.jpg,290,112,2.5892857142857144
airplane,airplane_0033.jpg,282,110,2.5636363636363635
airplane,airplane_0034.jpg,289,120,2.408333333333333
airplane,airplane_0035.jpg,298,105,2.8380952380952382
airplane,airplane_0036.jpg,292,100,2.92
airplane,airplane_0037.jpg,280,83,3.3734939759036147
airplane,airplane_0038.jpg,295,105,2.8095238095238093
airplane,airplane_0039.jpg,288,119,2.4201680672268906
airplane,airplane_0040.jpg,309,78,3.9615384615384617
airplane,airplane_0041.jpg,292,80,3.65
airplane,airplane_0042.jpg,270,83,3.253012048192771
airplane,airplane_0043.jpg,343,169,2.029585798816568
airplane,airplane_0044.jpg,297,78,3.8076923076923075
airplane,airplane_0045.jpg,301,81,3.7160493827160495
airplane,airplane_0046.jpg,306,122,2.5081967213114753
airplane,airplane_0047.jpg,288,114,2.526315789473684
airplane,airplane_0048.jpg,293,110,2.6636363636363636
airplane,airplane_0049.jpg,299,118,2.5338983050847457
airplane,airplane_0050.jpg,279,78,3.576923076923077
airplane,airplane_0051.jpg,304,104,2.923076923076923
airplane,airplane_0052.jpg,292,124,2.3548387096774195
airplane,airplane_0053.jpg,302,116,2.603448275862069
airplane,airplane_0054.jpg,294,89,3.303370786516854
airplane,airplane_0055.jpg,293,81,3.617283950617284
airplane,airplane_0056.jpg,323,73,4.424657534246576
airplane,airplane_0057.jpg,300,68,4.411764705882353
airplane,airplane_0058.jpg,310,94,3.297872340425532
airplane,airplane_0059.jpg,299,93,3.21505376344086
airplane,airplane_0060.jpg,302,88,3.4318181818181817
airplane,airplane_0061.jpg,283,89,3.1797752808988764
airplane,airplane_0062.jpg,292,74,3.945945945945946
airplane,airplane_0063.jpg,283,75,3.7733333333333334
airplane,airplane_0064.jpg,297,73,4.068493150684931
airplane,airplane_0065.jpg,307,81,3.7901234567901234
airplane,airplane_0066.jpg,313,110,2.8454545454545452
airplane,airplane_0067.jpg,305,59,5.169491525423729
airplane,airplane_0068.jpg,310,69,4.492753623188406
airplane,airplane_0069.jpg,302,71,4.253521126760563
airplane,airplane_0070.jpg,295,68,4.338235294117647
airplane,airplane_0071.jpg,292,103,2.8349514563106797
airplane,airplane_0072.jpg,295,95,3.1052631578947367
airplane,airplane_0073.jpg,288,82,3.5121951219512195
airplane,airplane_0074.jpg,273,79,3.4556962025316458
airplane,airplane_0075.jpg,306,94,3.25531914893617
airplane,airplane_0076.jpg,303,92,3.2934782608695654
airplane,airplane_0077.jpg,312,84,3.7142857142857144
airplane,airplane_0078.jpg,303,89,3.404494382022472
airplane,airplane_0079.jpg,298,66,4.515151515151516
airplane,airplane_0080.jpg,344,63,5.4603174603174605
airplane,airplane_0081.jpg,312,124,2.5161290322580645
airplane,airplane_0082.jpg,332,114,2.912280701754386
airplane,airplane_0083.jpg,296,80,3.7
airplane,airplane_0084.jpg,308,92,3.347826086956522
airplane,airplane_0085.jpg,285,80,3.5625
airplane,airplane_0086.jpg,301,84,3.5833333333333335
airplane,airplane_0087.jpg,306,75,4.08
airplane,airplane_0088.jpg,285,138,2.0652173913043477
airplane,airplane_0089.jpg,294,110,2.672727272727273
airplane,airplane_0090.jpg,312,77,4.0519480519480515
airplane,airplane_0091.jpg,303,89,3.404494382022472
airplane,airplane_0092.jpg,287,56,5.125
airplane,airplane_0093.jpg,305,106,2.8773584905660377
airplane,airplane_0094.jpg,295,76,3.8815789473684212
airplane,airplane_0095.jpg,307,83,3.6987951807228914
airplane,airplane_0096.jpg,299,90,3.3222222222222224
airplane,airplane_0097.jpg,298,95,3.136842105263158
airplane,airplane_0098.jpg,316,79,4.0
airplane,airplane_0099.jpg,319,84,3.7976190476190474
airplane,airplane_0100.jpg,296,68,4.352941176470588
airplane,airplane_0101.jpg,289,115,2.5130434782608697
airplane,airplane_0102.jpg,321,81,3.962962962962963
airplane,airplane_0103.jpg,296,111,2.6666666666666665
airplane,airplane_0104.jpg,277,80,3.4625
airplane,airplane_0105.jpg,286,94,3.0425531914893615
airplane,airplane_0106.jpg,281,82,3.426829268292683
airplane,airplane_0107.jpg,294,127,2.3149606299212597
airplane,airplane_0108.jpg,295,112,2.6339285714285716
airplane,airplane_0109.jpg,274,78,3.5128205128205128
airplane,airplane_0110.jpg,302,101,2.99009900990099
airplane,airplane_0111.jpg,311,79,3.9367088607594938
airplane,airplane_0112.jpg,308,81,3.802469135802469
airplane,airplane_0113.jpg,289,74,3.9054054054054053
airplane,airplane_0114.jpg,291,81,3.5925925925925926
airplane,airplane_0115.jpg,297,120,2.475
airplane,airplane_0116.jpg,318,88,3.6136363636363638
airplane,airplane_0117.jpg,300,79,3.7974683544303796
airplane,airplane_0118.jpg,310,102,3.0392156862745097
airplane,airplane_0119.jpg,295,77,3.831168831168831
airplane,airplane_0120.jpg,302,92,3.282608695652174
airplane,airplane_0121.jpg,307,74,4.148648648648648
airplane,airplane_0122.jpg,288,104,2.769230769230769
airplane,airplane_0123.jpg,287,70,4.1
airplane,airplane_0124.jpg,302,74,4.081081081081081
airplane,airplane_0125.jpg,294,104,2.826923076923077
airplane,airplane_0126.jpg,301,89,3.3820224719101124
airplane,airplane_0127.jpg,298,112,2.6607142857142856
airplane,airplane_0128.jpg,277,105,2.638095238095238
airplane,airplane_0129.jpg,287,101,2.8415841584158414
airplane,airplane_0130.jpg,298,67,4.447761194029851
airplane,airplane_0131.jpg,295,79,3.7341772151898733
airplane,airplane_0132.jpg,309,105,2.942857142857143
airplane,airplane_0133.jpg,306,94,3.25531914893617
airplane,airplane_0134.jpg,291,89,3.269662921348315
airplane,airplane_0135.jpg,304,96,3.1666666666666665
airplane,airplane_0136.jpg,300,91,3.2967032967032965
airplane,airplane_0137.jpg,281,146,1.9246575342465753
airplane,airplane_0138.jpg,290,115,2.5217391304347827
airplane,airplane_0139.jpg,309,135,2.2888888888888888
airplane,airplane_0140.jpg,287,98,2.9285714285714284
airplane,airplane_0141.jpg,294,110,2.672727272727273
airplane,airplane_0142.jpg,311,116,2.6810344827586206
airplane,airplane_0143.jpg,297,88,3.375
airplane,airplane_0144.jpg,297,87,3.413793103448276
airplane,airplane_0145.jpg,291,97,3.0
airplane,airplane_0146.jpg,300,109,2.7522935779816513
airplane,airplane_0147.jpg,310,81,3.8271604938271606
airplane,airplane_0148.jpg,311,93,3.3440860215053765
airplane,airplane_0149.jpg,294,69,4.260869565217392
airplane,airplane_0150.jpg,324,112,2.892857142857143
airplane,airplane_0151.jpg,296,127,2.3307086614173227
airplane,airplane_0152.jpg,307,110,2.790909090909091
airplane,airplane_0153.jpg,309,105,2.942857142857143
airplane,airplane_0154.jpg,297,77,3.857142857142857
airplane,airplane_0155.jpg,300,87,3.4482758620689653
airplane,airplane_0156.jpg,307,106,2.8962264150943398
airplane,airplane_0157.jpg,294,66,4.454545454545454
airplane,airplane_0158.jpg,305,110,2.772727272727273
airplane,airplane_0159.jpg,291,66,4.409090909090909
airplane,airplane_0160.jpg,266,61,4.360655737704918
airplane,airplane_0161.jpg,318,54,5.888888888888889
airplane,airplane_0162.jpg,295,94,3.1382978723404253
airplane,airplane_0163.jpg,297,114,2.6052631578947367
airplane,airplane_0164.jpg,299,81,3.691358024691358
airplane,airplane_0165.jpg,315,95,3.3157894736842106
airplane,airplane_0166.jpg,313,100,3.13
airplane,airplane_0167.jpg,318,104,3.0576923076923075
airplane,airplane_0168.jpg,296,119,2.4873949579831933
airplane,airplane_0169.jpg,290,96,3.0208333333333335
airplane,airplane_0170.jpg,285,113,2.52212389380531
airplane,airplane_0171.jpg,300,74,4.054054054054054
airplane,airplane_0172.jpg,306,103,2.970873786407767
airplane,airplane_0173.jpg,295,110,2.6818181818181817
airplane,airplane_0174.jpg,289,105,2.7523809523809524
airplane,airplane_0175.jpg,292,109,2.6788990825688073
airplane,airplane_0176.jpg,307,74,4.148648648648648
airplane,airplane_0177.jpg,283,103,2.7475728155339807
